BBLCOUNT        1.0         0
0x7fc1ab21f446 1 2 10
0x7fc1ab21f3a0 2 2 12
0x7fc1ab221a64 1 11 53
0x7fc1ab221a5f 0 2 5
0x7fc1ab221a99 1 13 49
0x7fc1ab221bd0 1 3 17
0x7fc1ab221be1 0 6 20
0x7fc1ab221bf3 1 1 2
0x7fc1ab22199e 1 4 19
0x7fc1ab22198e 1 3 16
0x7fc1ab221973 0 2 9
0x7fc1ab22196e 1 2 5
0x7fc1ab221960 1 6 14
0x7fc1ab221a13 1 6 18
0x7fc1ab2219ed 4 3 10
0x7fc1ab2219f7 4 4 11
0x7fc1ab221a02 1 3 11
0x7fc1ab2219e3 3 4 10
0x7fc1ab2219db 1 6 18
0x7fc1ab2219c3 1 4 24
0x7fc1ab2219b1 1 4 18
0x7fc1ab221a0d 1 2 6
0x7fc1ab221a5f 1 2 5
0x7fc1ab221a25 2 3 14
0x7fc1ab221a33 2 2 4
0x7fc1ab221a37 2 2 8
0x7fc1ab221a1b 1 4 10
0x7fc1ab221a3f 1 10 27
0x7fc1ab221a5a 1 2 5
0x7fc1ab221aca 1 6 18
0x7fc1ab221cd2 1 2 9
0x7fc1ab221d33 1 5 9
0x7fc1ab221c10 1 10 33
0x7fc1ab221c31 0 3 10
0x7fc1ab221c3b 0 22 111
0x7fc1ab221d40 1 6 37
0x7fc1ab221d65 0 1 5
0x7fc1ab221c45 1 21 101
0x7fc1ab221caa 0 3 16
0x7fc1ab221c89 3 10 33
0x7fc1ab221caa 1 3 16
0x7fc1ab221cba 1 4 24
0x7fc1ab221cba 0 4 24
0x7fc1ab221cdb 1 6 35
0x7fc1ab221cfe 1 10 48
0x7fc1ab221d2e 1 1 5
0x7fc1ab221e61 1 12 68
0x7fc1ab221e5d 1 2 4
0x7fc1ab221e53 1 2 10
0x7fc1ab221e4a 1 2 9
0x7fc1ab221e35 1 4 21
0x7fc1ab221e20 1 5 21
0x7fc1ab221e1b 1 2 5
0x7fc1ab221e03 1 6 24
0x7fc1ab221df7 1 4 12
0x7fc1ab221de9 1 4 14
0x7fc1ab221eac 1 2 7
0x7fc1ab221df7 0 4 12
0x7fc1ab221de0 0 8 23
0x7fc1ab221db0 1 13 48
0x7fc1ab222360 59 3 17
0x7fc1ab222360 2 3 17
0x7fc1ab22cd26 0 2 9
0x7fc1ab22ccbc 1 5 21
0x7fc1ab22ccd1 12 9 32
0x7fc1ab22cee9 1 11 28
0x7fc1ab22cee4 1 2 5
0x7fc1ab22ced8 1 3 12
0x7fc1ab22cd77 0 9 20
0x7fc1ab22cd5e 1 5 25
0x7fc1ab22ccb7 1 2 5
0x7fc1ab22cc90 1 7 29
0x7fc1ab22cbe0 0 7 30
0x7fc1ab22cbc0 1 11 32
0x7fc1ab22ccf1 12 4 17
0x7fc1ab22cd02 11 4 16
0x7fc1ab22cec8 1 2 11
0x7fc1ab22cd21 1 2 5
0x7fc1ab22cd2f 0 6 28
0x7fc1ab22ccb0 12 4 12
0x7fc1ab22ccbc 11 5 21
0x7fc1ab22cd12 11 6 20
0x7fc1ab22cd26 1 2 9
0x7fc1ab22cba0 65 5 21
0x7fc1ab22cba0 1 5 21
0x7fc1ab22cd2f 1 6 28
0x7fc1ab22cd4b 1 2 4
0x7fc1ab22cd4f 1 3 15
0x7fc1ab22d1ae 11 6 33
0x7fc1ab22d26e 1 2 12
0x7fc1ab22d3c5 1 1 5
0x7fc1ab22d1a8 12 2 6
0x7fc1ab22e5c0 11 3 11
0x7fc1ab22d27a 1 1 5
0x7fc1ab22cf20 1 12 39
0x7fc1ab22cf47 1 3 12
0x7fc1ab22cf8a 1 9 18
0x7fc1ab22cf53 1 3 14
0x7fc1ab22d40e 1 7 31
0x7fc1ab22e5cf 0 3 8
0x7fc1ab22e5d7 0 3 9
0x7fc1ab22d226 12 2 8
0x7fc1ab22d476 1 3 12
0x7fc1ab22e5e0 11 12 37
0x7fc1ab22d240 1 2 9
0x7fc1ab22d249 0 4 17
0x7fc1ab22d25a 0 5 20
0x7fc1ab22d463 1 4 19
0x7fc1ab22d455 12 3 14
0x7fc1ab22d450 0 1 5
0x7fc1ab22d3ca 1 3 17
0x7fc1ab22d444 1 3 12
0x7fc1ab22d42f 1 4 21
0x7fc1ab22d42d 1 1 2
0x7fc1ab22e5d7 11 3 9
0x7fc1ab22d408 1 2 6
0x7fc1ab22d3e4 1 4 18
0x7fc1ab22d3db 1 2 9
0x7fc1ab22d400 12 4 14
0x7fc1ab22d40e 11 7 31
0x7fc1ab22d42d 0 1 2
0x7fc1ab22d42f 11 4 21
0x7fc1ab22d444 11 3 12
0x7fc1ab22d450 0 1 5
0x7fc1ab22d487 1 4 22
0x7fc1ab22d260 1 3 14
0x7fc1ab22d26e 0 2 12
0x7fc1ab22d3a8 1 5 29
0x7fc1ab22e5cb 11 2 4
0x7fc1ab22e5e0 0 12 37
0x7fc1ab22deb0 12 10 27
0x7fc1ab22dfca 12 4 11
0x7fc1ab22dfc5 12 2 5
0x7fc1ab22df7a 12 3 11
0x7fc1ab22df6b 12 4 15
0x7fc1ab22df38 12 9 51
0x7fc1ab22df2f 12 2 9
0x7fc1ab22df22 11 2 13
0x7fc1ab22df11 11 3 17
0x7fc1ab22def6 11 6 27
0x7fc1ab22dedc 11 7 26
0x7fc1ab22decb 12 6 17
0x7fc1ab22df88 89 2 8
0x7fc1ab22e834 1 7 33
0x7fc1ab22e82f 1 2 5
0x7fc1ab22e807 1 6 28
0x7fc1ab22e7fa 1 3 13
0x7fc1ab22e7eb 1 3 15
