bb;bb;icount;execcount;ilen;len;nhmnp1;nhmnp1err;nhmnp1werr;nhmlbr2;nhmlbr2err;nhmlbr2werr;nhmlbr1;nhmlbr1err;nhmlbr1werr;nhmnp2;nhmnp2err;nhmnp2werr
16897;16897;7;1;7;28;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16928;16928;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16944;16944;2;1;2;7;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16951;16951;7;1;7;33;4571424;4571423.0;4571423.0;0.0;1.0;1.0;0.0;1.0;1.0;4571424;4571423.0;4571423.0
18784;18784;21;3;7;24;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
18808;18808;6;3;2;6;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
18814;18814;6;3;2;5;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
18840;18840;9;3;3;5;166666500;55555499.0;166666497.0;0.0;1.0;3.0;0.0;1.0;3.0;166666500;55555499.0;166666497.0
27264;27264;10;1;10;35;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27310;27310;2;1;2;4;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27314;27314;8;1;8;15;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27336;27336;15;1;15;116;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27452;27452;16;1;16;130;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27582;27582;14;1;14;119;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27701;27701;6;1;6;40;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27741;27741;15;1;15;108;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27849;27849;3;1;3;17;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27866;27866;16;1;16;128;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
27994;27994;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28010;28010;14;1;14;100;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28110;28110;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28126;28126;14;1;14;102;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28228;28228;16;1;16;128;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28356;28356;16;1;16;130;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28486;28486;14;1;14;119;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28605;28605;6;1;6;40;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28645;28645;15;1;15;111;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28756;28756;3;1;3;17;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28773;28773;16;1;16;131;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28904;28904;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
28920;28920;14;1;14;103;142857;142856.0;142856.0;0.0;1.0;1.0;0.0;1.0;1.0;142857;142856.0;142856.0
29023;29023;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29039;29039;14;1;14;105;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29144;29144;5;1;5;32;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29197;29197;4;1;4;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29213;29213;2;1;2;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29392;29392;2;1;2;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29420;29420;2;1;2;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29432;29432;3;1;3;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29448;29448;2;1;2;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29460;29460;2;1;2;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29472;29472;2;1;2;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29484;29484;2;1;2;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29496;29496;2;1;2;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29508;29508;2;1;2;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
29513;29513;5;1;5;16;35200000;35199999.0;35199999.0;0.0;1.0;1.0;0.0;1.0;1.0;35200000;35199999.0;35199999.0
54048;54048;19;1;19;71;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54128;54128;54;27;2;8;0;1.0;27.0;0.0;1.0;27.0;0.0;1.0;27.0;0;1.0;27.0
54136;54136;140;28;5;28;0;1.0;28.0;0.0;1.0;28.0;0.0;1.0;28.0;0;1.0;28.0
54164;54164;5;1;5;30;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54194;54194;5;1;5;24;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54224;54224;10;10;1;4;0;1.0;10.0;0.0;1.0;10.0;0.0;1.0;10.0;0;1.0;10.0
54228;54228;44;11;4;18;0;1.0;11.0;0.0;1.0;11.0;0.0;1.0;11.0;0;1.0;11.0
54246;54246;5;1;5;21;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54267;54267;4;1;4;22;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54289;54289;3;1;3;17;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54306;54306;4;1;4;22;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54328;54328;23;1;23;178;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54506;54506;5;1;5;25;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54531;54531;8;1;8;50;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54581;54581;8;1;8;50;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54631;54631;5;1;5;33;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54664;54664;5;1;5;29;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54693;54693;35;1;35;268;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54961;54961;5;1;5;25;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
54986;54986;35;1;35;268;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
